       0.107      0.7845    0.624258    -3.90879     4.93256
       0.108    0.780591     0.62919    -3.93952     4.90811
       0.109    0.776652    0.634098     -3.9701     4.88346
        0.11    0.772682    0.638982    -4.00052     4.85862
       0.111    0.768681     0.64384    -4.03078      4.8336
       0.112    0.764651    0.648674    -4.06089     4.80839
       0.113     0.76059    0.653482    -4.09083     4.78299
       0.114    0.756499    0.658265    -4.12061      4.7574
       0.115    0.752378    0.663023    -4.15022     4.73163
       0.116    0.748228    0.667754    -4.17967     4.70568
       0.117    0.744048     0.67246    -4.20896     4.67954
       0.118    0.739839     0.67714    -4.23808     4.65322
       0.119    0.735601    0.681793    -4.26703     4.62672
        0.12    0.731334     0.68642    -4.29582     4.60004
       0.121    0.727038     0.69102    -4.32443     4.57319
       0.122    0.722714    0.695593    -4.35287     4.54616
       0.123    0.718361    0.700139    -4.38114     4.51895
       0.124     0.71398    0.704658    -4.40924     4.49156
       0.125    0.709571    0.709149    -4.43716     4.46401
       0.126    0.705134    0.713614    -4.46491     4.43628
       0.127    0.700669     0.71805    -4.49248     4.40837
       0.128    0.696176    0.722458    -4.51987      4.3803
       0.129    0.691656    0.726838    -4.54708     4.35206
        0.13    0.687109    0.731191    -4.57412     4.32365
       0.131    0.682535    0.735514    -4.60097     4.29508
       0.132    0.677934    0.739809    -4.62764     4.26633
       0.133    0.673307    0.744076    -4.65413     4.23743
       0.134    0.668652    0.748313    -4.68043     4.20836
       0.135    0.663972    0.752521    -4.70655     4.17913
       0.136    0.659265      0.7567    -4.73249     4.14973
       0.137    0.654533     0.76085    -4.75824     4.12018
       0.138    0.649775     0.76497    -4.78379     4.09047
       0.139    0.644991    0.769061    -4.80917      4.0606
        0.14    0.640182    0.773121    -4.83435     4.03058
       0.141    0.635347    0.777152    -4.85934      4.0004
       0.142    0.630488    0.781152    -4.88413     3.97007
       0.143    0.625604    0.785123    -4.90874     3.93958
       0.144    0.620695    0.789062    -4.93315     3.90894
       0.145    0.615762    0.792971    -4.95737     3.87816
       0.146    0.610805    0.796849    -4.98139     3.84722
       0.147    0.605823    0.800696    -5.00521     3.81614
       0.148    0.600818    0.804513    -5.02884     3.78491
       0.149    0.595789    0.808297    -5.05227     3.75354
        0.15    0.590737    0.812051     -5.0755     3.72202
       0.151    0.585661    0.815773    -5.09853     3.69036
       0.152    0.580563    0.819463    -5.12136     3.65856
       0.153    0.575442    0.823122    -5.14399     3.62662
       0.154    0.570298    0.826749    -5.16642     3.59455
       0.155    0.565131    0.830343    -5.18864     3.56233
       0.156    0.559942    0.833905    -5.21066     3.52998
       0.157    0.554732    0.837435    -5.23247      3.4975
       0.158    0.549499    0.840933    -5.25408     3.46488
       0.159    0.544245    0.844398    -5.27548     3.43213
        0.16     0.53897     0.84783    -5.29667     3.39925
       0.161    0.533673    0.851229    -5.31765     3.36624
       0.162    0.528355    0.854595    -5.33843      3.3331
       0.163    0.523017    0.857929    -5.35899     3.29984
       0.164    0.517658    0.861228    -5.37935     3.26645
       0.165    0.512279    0.864495    -5.39949     3.23294
       0.166    0.506879    0.867728    -5.41942      3.1993
       0.167     0.50146    0.870927    -5.43914     3.16555
       0.168    0.496021    0.874093    -5.45864     3.13167
       0.169    0.490562    0.877224    -5.47793     3.09768
        0.17    0.485084    0.880322    -5.49701     3.06357
       0.171    0.479587    0.883386    -5.51587     3.02935
       0.172    0.474071    0.886415    -5.53451     2.99501
       0.173    0.468537     0.88941    -5.55294     2.96056
       0.174    0.462984     0.89237    -5.57114     2.92599
       0.175    0.457413    0.895296    -5.58913     2.89132
       0.176    0.451823    0.898188     -5.6069     2.85654
       0.177    0.446217    0.901044    -5.62445     2.82165
       0.178    0.440592    0.903866    -5.64178     2.78666
       0.179     0.43495    0.906653    -5.65889     2.75156
        0.18    0.429291    0.909404    -5.67578     2.71636
       0.181    0.423616    0.912121    -5.69244     2.68106
       0.182    0.417923    0.914802    -5.70888     2.64566
       0.183    0.412214    0.917447     -5.7251     2.61016
       0.184    0.406489    0.920057    -5.74109     2.57456
       0.185    0.400748    0.922632    -5.75686     2.53887
       0.186    0.394991    0.925171    -5.77241     2.50308
       0.187    0.389219    0.927674    -5.78772     2.46721
       0.188    0.383431    0.930141    -5.80282     2.43124
       0.189    0.377628    0.932572    -5.81768     2.39518
        0.19    0.371811    0.934968    -5.83232     2.35903
       0.191    0.365978    0.937327    -5.84673     2.32279
       0.192    0.360132    0.939649    -5.86091     2.28647
       0.193    0.354271    0.941936    -5.87486     2.25007
       0.194    0.348396    0.944186    -5.88858     2.21358
       0.195    0.342507      0.9464    -5.90208     2.17702
       0.196    0.336605    0.948577    -5.91534     2.14037
       0.197     0.33069    0.950717    -5.92837     2.10365
       0.198    0.324762    0.952821    -5.94117     2.06685
       0.199     0.31882    0.954887    -5.95374     2.02997
         0.2    0.312867    0.956917    -5.96608     1.99302
       0.201    0.306901     0.95891    -5.97818       1.956
       0.202    0.300922    0.960866    -5.99005     1.91891
       0.203    0.294932    0.962785    -6.00169     1.88175
       0.204    0.288931    0.964667    -6.01309     1.84452
       0.205    0.282918    0.966512    -6.02426     1.80723
       0.206    0.276893    0.968319     -6.0352     1.76987
       0.207    0.270858    0.970089     -6.0459     1.73245
       0.208    0.264812    0.971821    -6.05637     1.69496
       0.209    0.258756    0.973516     -6.0666     1.65742
        0.21    0.252689    0.975173    -6.07659     1.61982
       0.211    0.246613    0.976793    -6.08635     1.58216
       0.212    0.240526    0.978375    -6.09587     1.54445
       0.213     0.23443     0.97992    -6.10516     1.50668
       0.214    0.228325    0.981427     -6.1142     1.46886
       0.215    0.222211    0.982895    -6.12301     1.43099
       0.216    0.216088    0.984326    -6.13159     1.39307
       0.217    0.209956     0.98572    -6.13992      1.3551
       0.218    0.203816    0.987075    -6.14802     1.31708
       0.219    0.197668    0.988392    -6.15588     1.27903
        0.22    0.191513    0.989671     -6.1635     1.24092
       0.221    0.185349    0.990912    -6.17088     1.20278
       0.222    0.179178    0.992114    -6.17802     1.16459
       0.223       0.173    0.993279    -6.18492     1.12637
       0.224    0.166815    0.994405    -6.19159     1.08811
       0.225    0.160624    0.995494    -6.19801     1.04981
       0.226    0.154426    0.996543     -6.2042     1.01148
       0.227    0.148221    0.997555    -6.21014    0.973122
       0.228    0.142011    0.998528    -6.21585    0.934728
       0.229    0.135795    0.999463    -6.22131    0.896305
